name,link,salary,employer,address
Инженер 1 категории Технологического отдела,https://spb.hh.ru/vacancy/66134804,"{'min': 60000, 'max': 70000, 'cur': 'руб.'}",АО Гипротрубопровод,Самара
Ведущий инженер-технолог,https://spb.hh.ru/vacancy/54887212,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО СБИ,"Москва, Марксистская и еще 2 "
Инженер SCADA / Дата-инженер,https://spb.hh.ru/vacancy/66106824,"{'min': 110000, 'max': None, 'cur': 'руб.'}",ООО ПГИ,"Москва, Баррикадная и еще 1 "
Инженер ПТО (Технологический трубопровод),https://spb.hh.ru/vacancy/66144943,"{'min': 100000, 'max': 115000, 'cur': 'руб.'}",ООО АЛЬФАВЕСТСТРОЙ,Воронеж
Помощник главного инженера проекта/ГИП,https://spb.hh.ru/vacancy/55567487,"{'min': 65000, 'max': None, 'cur': 'руб.'}",ООО НВС,Санкт-Петербург
Инженер-электронщик,https://spb.hh.ru/vacancy/54658263,"{'min': 80000, 'max': 120000, 'cur': 'руб.'}",ООО ИКС-Суппорт,Иркутск
Инженер ПТО,https://spb.hh.ru/vacancy/66105712,"{'min': 120000, 'max': None, 'cur': 'руб.'}",Альфа Хантер,Москва
Инженер,https://spb.hh.ru/vacancy/55890603,"{'min': None, 'max': None, 'cur': None}",ООО ЦНиПР Техбезопасность,Санкт-Петербург
Инженер по эксплуатации,https://spb.hh.ru/vacancy/66130294,"{'min': 90000, 'max': None, 'cur': 'руб.'}","«Spar», Офис","Москва, Строгино"
Главный инженер (строительство),https://spb.hh.ru/vacancy/66130111,"{'min': 110000, 'max': 160000, 'cur': 'руб.'}",ООО СЗРК,Санкт-Петербург
Инженер - разработчик СВЧ техники,https://spb.hh.ru/vacancy/55872404,"{'min': 150000, 'max': None, 'cur': 'руб.'}",ООО Радиокомп,Москва
"Инженер-конструктор (SolidWorks, Inventor)",https://spb.hh.ru/vacancy/55530008,"{'min': 90000, 'max': None, 'cur': 'руб.'}",ФОРЭНЕРГО-ТРЕЙД,"Москва, Перово"
Инженер ПТО,https://spb.hh.ru/vacancy/55236447,"{'min': 100000, 'max': 130000, 'cur': 'руб.'}",ООО СК Альфа Регион,Иркутск
Инженер ПТО,https://spb.hh.ru/vacancy/66101903,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Энергосервис,Москва
Ведущий Инженер-конструктор,https://spb.hh.ru/vacancy/52403459,"{'min': 100000, 'max': None, 'cur': 'руб.'}",ООО Проектно-производственная компания ИноксДрайв,"Санкт-Петербург, Елизаровская"
Сервисный Инженер ЦТО,https://spb.hh.ru/vacancy/66138777,"{'min': 65000, 'max': None, 'cur': 'руб.'}",ООО Союз 76,Самара
Инженер ПТО,https://spb.hh.ru/vacancy/55557195,"{'min': 75000, 'max': 97000, 'cur': 'руб.'}",ТехАтомСтрой,Димитровград
Инженер ПТО,https://spb.hh.ru/vacancy/55901685,"{'min': 130000, 'max': None, 'cur': 'руб.'}",ООО ИНЖИКОМ,Москва
Инженер-схемотехник,https://spb.hh.ru/vacancy/55597853,"{'min': 80000, 'max': 130000, 'cur': 'руб.'}",АО Комплектэнергоучет,Санкт-Петербург
Инженер по подготовке производства,https://spb.hh.ru/vacancy/66078704,"{'min': 120000, 'max': None, 'cur': 'руб.'}",ООО Левитэк,Москва
Инженер по наладке и испытаниям,https://spb.hh.ru/vacancy/55368748,"{'min': 93000, 'max': None, 'cur': 'руб.'}",ООО Энергопотенциал М,Нижневартовск
Инженер-проектировщик,https://spb.hh.ru/vacancy/66088123,"{'min': 80000, 'max': 120000, 'cur': 'руб.'}",ООО Куб-Системы проект,Москва
Инженер-электроник,https://spb.hh.ru/vacancy/55433804,"{'min': 95000, 'max': None, 'cur': 'руб.'}",ООО Метромаш,"Санкт-Петербург, Купчино"
Инженер,https://spb.hh.ru/vacancy/66108783,"{'min': 34800, 'max': 34800, 'cur': 'руб.'}",Пожарная охрана Республики Татарстан,"Казань, Козья слобода"
Инженер ПТО/ сметчик,https://spb.hh.ru/vacancy/66095639,"{'min': 400000, 'max': None, 'cur': 'KZT'}",ТОО Атрикс-Строй,Алматы
Инженер ПТО (удаленно),https://spb.hh.ru/vacancy/66131493,"{'min': None, 'max': None, 'cur': None}",АО ДОНГИС,Ростов-на-Дону
"Инженер ПТО на участок ""Подготовка исполнительной документации""",https://spb.hh.ru/vacancy/66074254,"{'min': 70000, 'max': 90000, 'cur': 'руб.'}",ООО Авентин Инжиниринг,"Санкт-Петербург, Комендантский проспект"
